SubjectNumber,SubjectOrder,item,RESP,Condition,CRESP,ACC,RespNum,Test,Phrase,PhraseNum
1,1,resp1test1,1,WithCue,1,1,resp1,test1,NonPhrase,NA
2,2,resp1test1,1,WithCue,1,1,resp1,test1,NonPhrase,NA
3,3,resp1test1,1,WithCue,1,1,resp1,test1,NonPhrase,NA
5,4,resp1test1,1,WithCue,1,1,resp1,test1,NonPhrase,NA
6,5,resp1test1,1,WithCue,1,1,resp1,test1,NonPhrase,NA
11,6,resp1test1,1,WithCue,1,1,resp1,test1,NonPhrase,NA
15,7,resp1test1,1,WithCue,1,1,resp1,test1,NonPhrase,NA
16,8,resp1test1,1,WithCue,1,1,resp1,test1,NonPhrase,NA
22,9,resp1test1,1,WithCue,1,1,resp1,test1,NonPhrase,NA
25,10,resp1test1,1,WithCue,1,1,resp1,test1,NonPhrase,NA
26,11,resp1test1,1,WithCue,1,1,resp1,test1,NonPhrase,NA
28,12,resp1test1,1,WithCue,1,1,resp1,test1,NonPhrase,NA
29,13,resp1test1,1,WithCue,1,1,resp1,test1,NonPhrase,NA
40,14,resp1test1,1,WithCue,1,1,resp1,test1,NonPhrase,NA
49,15,resp1test1,1,WithCue,1,1,resp1,test1,NonPhrase,NA
52,16,resp1test1,1,WithCue,1,1,resp1,test1,NonPhrase,NA
53,17,resp1test1,1,WithCue,1,1,resp1,test1,NonPhrase,NA
54,18,resp1test1,1,WithCue,1,1,resp1,test1,NonPhrase,NA
66,19,resp1test1,1,WithCue,1,1,resp1,test1,NonPhrase,NA
97,20,resp1test1,1,WithCue,1,1,resp1,test1,NonPhrase,NA
1,1,resp2test1,1,WithCue,1,1,resp2,test1,NonPhrase,NA
2,2,resp2test1,1,WithCue,1,1,resp2,test1,NonPhrase,NA
3,3,resp2test1,1,WithCue,1,1,resp2,test1,NonPhrase,NA
5,4,resp2test1,1,WithCue,1,1,resp2,test1,NonPhrase,NA
6,5,resp2test1,2,WithCue,1,0,resp2,test1,NonPhrase,NA
11,6,resp2test1,2,WithCue,1,0,resp2,test1,NonPhrase,NA
15,7,resp2test1,1,WithCue,1,1,resp2,test1,NonPhrase,NA
16,8,resp2test1,1,WithCue,1,1,resp2,test1,NonPhrase,NA
22,9,resp2test1,1,WithCue,1,1,resp2,test1,NonPhrase,NA
25,10,resp2test1,2,WithCue,1,0,resp2,test1,NonPhrase,NA
26,11,resp2test1,2,WithCue,1,0,resp2,test1,NonPhrase,NA
28,12,resp2test1,1,WithCue,1,1,resp2,test1,NonPhrase,NA
29,13,resp2test1,1,WithCue,1,1,resp2,test1,NonPhrase,NA
40,14,resp2test1,2,WithCue,1,0,resp2,test1,NonPhrase,NA
49,15,resp2test1,1,WithCue,1,1,resp2,test1,NonPhrase,NA
52,16,resp2test1,2,WithCue,1,0,resp2,test1,NonPhrase,NA
53,17,resp2test1,1,WithCue,1,1,resp2,test1,NonPhrase,NA
54,18,resp2test1,1,WithCue,1,1,resp2,test1,NonPhrase,NA
66,19,resp2test1,1,WithCue,1,1,resp2,test1,NonPhrase,NA
97,20,resp2test1,1,WithCue,1,1,resp2,test1,NonPhrase,NA
1,1,resp3test1,1,WithCue,2,0,resp3,test1,NonPhrase,NA
2,2,resp3test1,2,WithCue,2,1,resp3,test1,NonPhrase,NA
3,3,resp3test1,1,WithCue,2,0,resp3,test1,NonPhrase,NA
5,4,resp3test1,2,WithCue,2,1,resp3,test1,NonPhrase,NA
6,5,resp3test1,2,WithCue,2,1,resp3,test1,NonPhrase,NA
11,6,resp3test1,2,WithCue,2,1,resp3,test1,NonPhrase,NA
15,7,resp3test1,2,WithCue,2,1,resp3,test1,NonPhrase,NA
16,8,resp3test1,1,WithCue,2,0,resp3,test1,NonPhrase,NA
22,9,resp3test1,2,WithCue,2,1,resp3,test1,NonPhrase,NA
25,10,resp3test1,1,WithCue,2,0,resp3,test1,NonPhrase,NA
26,11,resp3test1,1,WithCue,2,0,resp3,test1,NonPhrase,NA
28,12,resp3test1,2,WithCue,2,1,resp3,test1,NonPhrase,NA
29,13,resp3test1,1,WithCue,2,0,resp3,test1,NonPhrase,NA
40,14,resp3test1,1,WithCue,2,0,resp3,test1,NonPhrase,NA
49,15,resp3test1,1,WithCue,2,0,resp3,test1,NonPhrase,NA
52,16,resp3test1,2,WithCue,2,1,resp3,test1,NonPhrase,NA
53,17,resp3test1,1,WithCue,2,0,resp3,test1,NonPhrase,NA
54,18,resp3test1,1,WithCue,2,0,resp3,test1,NonPhrase,NA
66,19,resp3test1,2,WithCue,2,1,resp3,test1,NonPhrase,NA
97,20,resp3test1,1,WithCue,2,0,resp3,test1,NonPhrase,NA
1,1,resp4test1,1,WithCue,1,1,resp4,test1,NonPhrase,NA
2,2,resp4test1,1,WithCue,1,1,resp4,test1,NonPhrase,NA
3,3,resp4test1,1,WithCue,1,1,resp4,test1,NonPhrase,NA
5,4,resp4test1,1,WithCue,1,1,resp4,test1,NonPhrase,NA
6,5,resp4test1,1,WithCue,1,1,resp4,test1,NonPhrase,NA
11,6,resp4test1,1,WithCue,1,1,resp4,test1,NonPhrase,NA
15,7,resp4test1,1,WithCue,1,1,resp4,test1,NonPhrase,NA
